Date,SPX241220C00200000,SPX241220C00400000,SPX241220C00500000,SPX241220C00600000,SPX241220C00800000,SPX241220C01000000,SPX241220C01400000,SPX241220C01600000,SPX241220C01800000,SPX241220C02000000,SPX241220C02200000,SPX241220C02400000,SPX241220C02600000,SPX241220C02800000,SPX241220C03000000,SPX241220C03100000,SPX241220C03200000,SPX241220C03300000,SPX241220C03400000,SPX241220C03500000,SPX241220C03550000,SPX241220C03600000,SPX241220C03700000,SPX241220C03800000,SPX241220C03825000,SPX241220C03900000,SPX241220C04000000,SPX241220C04025000,SPX241220C04050000,SPX241220C04100000,SPX241220C04150000,SPX241220C04200000,SPX241220C04300000,SPX241220C04350000,SPX241220C04400000,SPX241220C04500000,SPX241220C04550000,SPX241220C04600000,SPX241220C04625000,SPX241220C04650000,SPX241220C04700000,SPX241220C04725000,SPX241220C04750000,SPX241220C04775000,SPX241220C04800000,SPX241220C04825000,SPX241220C04850000,SPX241220C04875000,SPX241220C04900000,SPX241220C04925000,SPX241220C04950000,SPX241220C04975000,SPX241220C05000000,SPX241220C05025000,SPX241220C05050000,SPX241220C05075000,SPX241220C05100000,SPX241220C05125000,SPX241220C05150000,SPX241220C05175000,SPX241220C05200000,SPX241220C05225000,SPX241220C05250000,SPX241220C05275000,SPX241220C05300000,SPX241220C05325000,SPX241220C05350000,SPX241220C05375000,SPX241220C05400000,SPX241220C05425000,SPX241220C05450000,SPX241220C05475000,SPX241220C05500000,SPX241220C05525000,SPX241220C05550000,SPX241220C05575000,SPX241220C05600000,SPX241220C05625000,SPX241220C05650000,SPX241220C05675000,SPX241220C05700000,SPX241220C05725000,SPX241220C05750000,SPX241220C05775000,SPX241220C05800000,SPX241220C05825000,SPX241220C05850000,SPX241220C05875000,SPX241220C05900000,SPX241220C05925000,SPX241220C05950000,SPX241220C05975000,SPX241220C06000000,SPX241220C06025000,SPX241220C06050000,SPX241220C06075000,SPX241220C06100000,SPX241220C06125000,SPX241220C06150000,SPX241220C06175000,SPX241220C06200000,SPX241220C06225000,SPX241220C06250000,SPX241220C06275000,SPX241220C06300000,SPX241220C06325000,SPX241220C06350000,SPX241220C06375000,SPX241220C06400000,SPX241220C06425000,SPX241220C06450000,SPX241220C06475000,SPX241220C06500000,SPX241220C06525000,SPX241220C06550000,SPX241220C06575000,SPX241220C06600000,SPX241220C06650000,SPX241220C06700000,SPX241220C06750000,SPX241220C06800000,SPX241220C06850000,SPX241220C06900000,SPX241220C07000000,SPX241220C07100000,SPX241220C07200000,SPX241220C07300000,SPX241220C07400000,SPX241220C07600000,SPX241220C07800000,SPX241220C08000000,SPX241220C08200000,SPX241220C08400000,SPX241220C08600000,SPX241220C08800000,SPX241220C09000000,SPX241220C09200000,SPX241220C09400000,SPX241220C10000000
2024-06-25,5245.7,,,,,,,,,,,,,,,,,,,,,,,1752.22,,,1568.49,,,,,,1270.54,,,1085.57,,986.95,,,905.74,,,,818.81,,,,734.88,,671.65,,643.99,,589.69,,558.9,524.3,513.16,,471.5,,,,400.4,,,,327.26,307.6,287.86,265.2,260.93,239.75,,,198.9,182.75,169.7,158.1,146.07,131.9,123.17,,102.42,93.65,85.1,78.0,67.85,63.57,,,46.8,,,,30.25,,,,19.35,,,,12.0,,,,7.6,,,,5.1,,,,3.5,,,,,,,,,,,,,,,,,,,,0.05,,
2024-08-08,5076.91,4884.9,,,,,,,,3334.96,,,,,,,,,,1882.5,,,,,,,1384.43,,,,,,,,1014.35,923.89,,785.43,,774.52,761.45,,683.7,704.85,683.6,,618.06,,582.03,,556.26,,504.8,,475.17,447.74,433.7,,399.12,356.4,352.8,,,303.4,289.5,270.46,260.68,225.63,224.0,214.72,187.38,183.5,161.14,155.43,139.9,124.2,122.66,88.95,100.9,93.4,84.89,,68.55,61.1,54.1,48.59,43.55,37.8,34.15,30.09,23.73,,20.0,,15.9,,13.0,,,,7.2,,,,4.91,,,,3.4,,,,2.3,,,,1.8,,1.37,,1.15,,,0.77,,,,,,,,0.06,,,0.01,0.01,0.01,,
2024-08-09,5116.75,,,,,,,,,,,,,,,,,,,,,,,,,,1419.0,,,,,,1137.07,,,949.94,,,,,,,,,668.95,,,,,,543.77,540.0,512.49,,477.57,,435.38,,390.81,,360.59,330.9,324.36,303.5,289.35,271.3,256.37,234.83,221.56,206.98,194.6,180.0,164.96,148.93,,128.72,117.8,,96.3,84.2,78.08,,62.45,,49.25,,38.5,36.9,32.9,,,,17.4,,13.5,,10.27,,,,6.49,,,,4.7,,,,2.93,,,,2.1,,,,1.45,,1.2,,0.95,,,,,,,,,,,,,,,0.05,,,
2024-08-12,5124.7,,,,,,,,,,,,,,,,,,,,,,,,,,1412.0,,,,,,,,,942.46,,,,,768.99,,,,672.8,,,,,,,541.83,509.08,500.37,470.09,,426.3,,,,353.97,,,,282.72,276.2,250.3,226.0,218.77,200.57,186.7,169.0,158.2,144.5,133.0,123.54,111.9,,89.7,83.0,74.25,69.4,58.8,52.5,46.47,41.01,36.37,33.3,27.87,,,,15.91,,,,9.4,,,,5.2,,,,3.5,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,5340.12,5143.82,,,,,,,,,,3180.95,,,,,,,,2102.5,,,,,,,1622.6,,,,,,,,,1140.49,,,,,,,,,855.6,,,,,,,,676.63,,,,592.0,,,,500.92,,460.59,,422.1,,,,,,302.3,268.9,266.51,235.19,228.54,,200.0,182.4,170.35,153.0,142.5,,120.02,,96.68,85.5,78.8,69.7,60.05,,48.03,,36.6,,26.29,,21.23,,,,12.5,,,,7.2,,,,4.81,,,,3.19,,,,2.15,,,,1.25,,,0.7,,,,,,0.3,,,,,,,,,
2024-08-19,5371.27,5174.92,,,,4594.26,,,,3612.76,,,,,,,,,,,,,,,,,1668.22,,,,,,,,,,,1072.63,,,,,,,,,815.0,,,,,,719.12,,,,,,,554.3,,,489.62,468.85,445.6,,,380.34,366.02,343.99,327.32,300.33,290.4,271.82,237.0,233.08,227.5,194.83,175.9,170.3,165.8,146.57,139.69,,114.32,102.5,92.25,83.37,75.17,65.55,58.4,,45.2,,34.57,,26.17,,,,14.9,,,,8.4,,6.4,,5.0,,,,3.4,,,,2.45,,,,1.36,,1.02,0.9,,0.59,,,,0.3,,,,,,,,,
2024-08-21,5386.96,,,,4797.31,4613.19,,,,3631.64,,,,,,,,,,2166.0,,,,,,,1683.7,,,,,,,,,,,,,,,,,,913.68,,,,,,,,735.32,,,,649.25,,,,560.39,,507.05,497.3,,,,,392.5,,,,315.89,,263.6,258.35,238.54,,207.95,190.6,175.0,162.7,153.2,135.5,125.3,117.54,100.7,92.0,80.23,72.58,65.65,,50.5,,38.1,,31.4,,22.84,,16.9,,13.0,,10.08,,7.5,,6.6,,,,4.01,,,,3.08,,,,,,1.25,,,,,,,0.35,,,,,,,,,
2024-09-16,5422.58,,,,,,,,,,,,,,,,,,,,,,,,,,1679.75,,,,,,,,,,,,,,,,,,,,,,,,,,729.17,,685.0,,615.13,,,,549.21,,492.5,470.0,464.91,432.4,409.4,401.33,381.45,349.6,330.33,315.29,303.44,277.7,259.52,,234.1,212.9,197.3,175.66,168.04,144.25,138.89,125.51,115.6,,,80.64,70.9,62.66,54.48,,42.2,34.25,29.6,26.67,21.72,19.53,16.8,,12.2,10.07,8.7,8.3,6.35,,5.0,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,5426.22,,,,,,,,,3645.42,,,,,,,,,,2205.0,,,,,,,1700.0,,,,,,,,,1199.2,,,,,1017.26,,,,922.64,,,,,,779.73,,732.31,720.2,,,644.23,,,,546.5,,,,460.1,441.9,,,381.39,,336.72,317.19,289.9,,260.44,,225.38,209.57,197.1,185.1,156.95,166.0,147.06,127.9,110.0,110.5,92.0,86.97,78.42,70.41,60.77,,41.7,40.6,32.25,27.19,22.6,20.55,17.0,15.4,11.95,11.9,10.5,,7.1,6.6,,5.0,4.5,,3.7,,3.05,,,,2.25,,,,,,0.97,0.75,,,,,,,,,,0.12,,,,,
2024-09-19,5507.7,5318.53,,5120.12,,,,,,3733.75,,,,,2748.73,,,,,2250.0,,,,,,,1763.77,,,1653.47,,,,,,,,1183.45,,,1090.14,,,,999.8,,,,,,851.93,,798.78,,750.4,,694.79,675.4,,,627.58,601.22,,,538.34,517.2,486.2,,431.67,427.45,401.83,,375.0,,322.94,,283.3,274.09,251.99,230.62,210.13,197.52,174.8,159.0,155.05,145.57,117.3,119.59,94.99,96.69,80.8,,59.05,51.54,46.25,41.3,40.41,29.2,30.4,24.21,23.01,19.8,14.65,12.7,10.75,,8.5,8.02,6.45,,4.7,5.2,4.7,,,,3.3,,2.1,,1.6,,1.27,1.02,,0.65,,0.6,,,,,,,,,,,
