Date,SPX250117C00200000,SPX250117C00400000,SPX250117C00800000,SPX250117C01000000,SPX250117C01400000,SPX250117C01800000,SPX250117C02000000,SPX250117C02600000,SPX250117C02800000,SPX250117C02900000,SPX250117C03000000,SPX250117C03500000,SPX250117C03600000,SPX250117C04000000,SPX250117C04050000,SPX250117C04100000,SPX250117C04200000,SPX250117C04300000,SPX250117C04450000,SPX250117C04500000,SPX250117C04600000,SPX250117C04650000,SPX250117C04675000,SPX250117C04700000,SPX250117C04750000,SPX250117C04775000,SPX250117C04800000,SPX250117C04825000,SPX250117C04850000,SPX250117C04875000,SPX250117C04900000,SPX250117C04925000,SPX250117C04950000,SPX250117C04975000,SPX250117C05000000,SPX250117C05025000,SPX250117C05050000,SPX250117C05075000,SPX250117C05100000,SPX250117C05125000,SPX250117C05150000,SPX250117C05175000,SPX250117C05200000,SPX250117C05225000,SPX250117C05250000,SPX250117C05275000,SPX250117C05300000,SPX250117C05325000,SPX250117C05350000,SPX250117C05375000,SPX250117C05400000,SPX250117C05425000,SPX250117C05450000,SPX250117C05475000,SPX250117C05500000,SPX250117C05525000,SPX250117C05550000,SPX250117C05575000,SPX250117C05600000,SPX250117C05625000,SPX250117C05650000,SPX250117C05675000,SPX250117C05700000,SPX250117C05725000,SPX250117C05750000,SPX250117C05775000,SPX250117C05800000,SPX250117C05825000,SPX250117C05850000,SPX250117C05875000,SPX250117C05900000,SPX250117C05925000,SPX250117C05950000,SPX250117C05975000,SPX250117C06000000,SPX250117C06025000,SPX250117C06050000,SPX250117C06075000,SPX250117C06100000,SPX250117C06125000,SPX250117C06150000,SPX250117C06175000,SPX250117C06200000,SPX250117C06225000,SPX250117C06250000,SPX250117C06275000,SPX250117C06300000,SPX250117C06325000,SPX250117C06350000,SPX250117C06375000,SPX250117C06400000,SPX250117C06425000,SPX250117C06450000,SPX250117C06475000,SPX250117C06500000,SPX250117C06525000,SPX250117C06550000,SPX250117C06575000,SPX250117C06600000,SPX250117C06625000,SPX250117C06650000,SPX250117C06675000,SPX250117C06700000,SPX250117C06750000,SPX250117C06800000,SPX250117C06850000,SPX250117C06900000,SPX250117C06950000,SPX250117C07000000,SPX250117C07100000,SPX250117C07200000,SPX250117C07400000,SPX250117C07600000,SPX250117C07800000,SPX250117C08000000,SPX250117C08200000,SPX250117C08400000,SPX250117C08600000,SPX250117C08800000,SPX250117C09000000
2024-08-02,5154.84,4959.74,,4310.98,,,3338.48,,,,2371.2,,,1445.71,,,,,,972.2,,,,802.0,760.84,,720.27,,703.41,,660.81,,618.66,,560.42,,505.0,,471.73,,,,407.41,,368.77,359.9,331.93,316.85,302.87,,268.86,,245.71,237.7,214.95,202.2,188.96,174.7,162.39,152.0,144.5,132.84,117.16,108.2,104.0,93.67,84.17,,71.2,,58.36,,47.9,,36.41,,31.6,,25.35,,20.55,,17.8,,12.5,,10.06,,,,7.12,,,,4.35,,,,2.74,,,,1.95,,1.9,,,,1.15,,,,,,,0.2,,,,0.18
2024-08-20,5391.77,5196.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.34,,774.21,759.77,,,,,,,,560.37,,529.85,,486.62,,,,409.51,,,,341.82,,,281.87,252.61,247.92,226.3,207.2,197.89,178.37,172.81,153.1,141.71,126.74,118.9,,97.19,,80.3,,65.12,,51.24,,41.7,,31.09,,25.9,,19.09,,15.3,,,,9.25,,,,6.0,,,,4.0,,,,,,2.1,,,,1.25,,0.8,,,,,,,,,
2024-08-26,5408.11,,,,,,,,,,,,,,,,,,,,,,,1033.26,,,,,,,,,,,752.8,,,,670.56,,,,,,,,,,,,407.27,,,,,340.81,302.7,,,255.48,229.67,,201.0,184.1,171.7,167.5,145.6,,,,106.2,,,70.68,63.6,,51.1,,,,,,,,21.0,,16.03,,12.89,,10.35,,,,6.65,,,,,,,,3.5,,,,,,1.4,,,0.75,0.55,0.45,,,,,,
2024-08-27,5392.85,,,,,,,,,,,,,1705.33,,,,,,,,,,,,,,,,,,,,,763.4,,,,675.75,,,,,,,,,477.62,441.7,,411.05,,,344.4,,,,285.58,269.76,244.93,,,204.6,186.3,173.3,159.4,144.36,129.8,122.95,108.6,97.3,89.2,82.6,,64.52,,51.9,,40.25,,31.46,,,,19.43,,15.08,,,,8.9,,,,6.0,,,,,,,,,,2.2,,,,1.35,,0.9,0.69,0.5,,,,,,,
2024-09-09,5243.71,,,,,,,,,,,,,,,,,,,,,,,878.1,,,,,,,704.24,,,,618.04,,,,530.5,,,,453.7,,,386.23,375.68,,,323.5,298.77,,272.94,,227.2,219.0,201.16,186.9,174.2,160.6,146.72,135.3,129.03,115.53,102.82,91.8,86.7,76.4,64.7,63.17,52.1,,44.0,,32.7,27.53,,,19.4,,14.1,,10.37,,7.95,,6.2,,,,4.2,,,,2.95,,,,2.15,,,,1.45,,1.2,,1.0,,0.9,,0.65,0.5,0.45,0.45,,,,,,0.15
2024-09-10,5281.35,,,4495.75,,,3515.2,,,,,,,1563.25,,,,,,,,,,,,,,,,,721.0,,,,629.6,,,,,,,,,,,,,,,337.5,322.21,,,267.05,250.55,235.22,218.83,185.58,190.02,175.77,160.2,147.4,129.3,124.03,111.5,,82.29,,,62.51,58.7,,,40.4,35.7,31.0,27.21,,20.0,,,,11.5,,8.8,,,,,,4.4,,,,2.95,,,,2.1,,,,1.65,,1.25,,,,0.9,,,0.5,0.3,,,,,,,0.13
2024-09-23,5507.39,,,,,,,,,,,,2172.88,1776.98,,,,,1346.69,,,,,,,,,,,,,,,,822.21,,,,734.37,,,,643.52,,602.94,,,,516.05,,,,,,386.84,,350.96,331.9,310.6,,,257.94,236.4,,203.72,185.3,171.6,157.2,143.6,133.38,118.1,,,,77.2,68.99,61.72,,48.1,,38.35,33.9,29.45,25.7,21.2,18.5,17.3,14.4,12.4,,9.65,,,,5.9,,,,4.0,,,,,,,,,,,,0.8,,,,,,,,,0.08
2024-10-17,5654.64,,,,,,,,,,,,,1915.44,,,1717.7,,,,,,,,1184.88,1161.03,,,,,,,,,947.93,,,,,,,,,,,,,,,,,,,,502.48,,428.0,,387.17,,348.58,346.51,324.7,,269.6,,236.0,,204.21,198.1,173.0,153.7,151.88,130.93,113.5,111.85,,79.32,69.89,64.77,53.76,53.81,41.1,40.95,35.2,,22.8,,17.9,,12.2,,11.41,,6.65,,6.55,,,,,,,,2.0,,,,0.95,,0.5,,,,,,,,,
2024-10-25,5607.04,5412.72,,,,,,,,,,,,1856.91,,,,,,,,,,,,,,,,,1014.6,,,,888.0,,,,800.04,,,,,,,,619.72,,,,528.26,,481.82,,441.14,,400.32,,,,338.25,,281.07,,,237.98,212.49,,175.23,,147.73,,133.58,104.4,91.5,,78.6,73.31,52.65,46.0,41.4,34.5,29.53,27.73,23.7,,15.4,14.0,10.8,9.3,7.95,,5.72,,4.24,,3.7,,2.42,,,,1.75,,1.05,,,,0.65,0.4,0.4,,,,,,,,,0.15
2024-10-28,5627.1,,,,,,,,,,2862.68,,,1879.9,,,,,,1390.45,,,,,,,,,,,,,,,907.66,,,,815.6,,,,,,,,,,586.22,,,,,,452.98,,414.02,,367.57,,327.95,,291.4,,249.9,,223.0,204.39,182.0,,150.9,136.9,123.2,109.2,97.73,,75.68,64.0,58.5,51.51,41.55,,31.9,,22.5,18.7,16.6,13.38,11.65,10.0,8.55,7.35,6.3,,4.6,,3.35,,2.55,,,,1.65,,1.15,,,,0.7,0.55,0.4,0.35,,,,,,,,
