Date,4000,4200,4400,4600,4750,4800,4900,5000,5025,5050,5075,5100,5125,5200,5250,5300,5350,5375,5400,5410,5425,5440,5450,5475,5500,5505,5525,5530,5550,5570,5580,5600,5615,5650,5660,5665,5670,5675,5680,5685,5690,5695,5700,5705,5710,5715,5720,5725,5730,5735,5740,5745,5750,5755,5760,5765,5770,5775,5780,5785,5790,5795,5800,5805,5810,5815,5820,5825,5830,5835,5840,5845,5850,5855,5860,5865,5870,5875,5880,5885,5890,5895,5900,5905,5910,5915,5920,5925,5930,5935,5940,5945,5950,5955,5960,5965,5970,5975,5980,5985,5990,5995,6000,6005,6010,6015,6020,6025,6030,6035,6040,6045,6050,6055,6060,6065,6070,6075,6080,6085,6090,6095,6100,6105,6110,6115,6120,6125,6130,6140,6150,6160,6170,6175,6180,6200,6225,6250,6275,6300,6325,6350,6400,6450,6500,6600,6700,6800,7000,7200,7400,7600,7800
2025-01-15,1941.37,,,,,,,,,,,852.07,830.63,758.15,,,,,,,,,473.77,452.13,,,,397.51,,,369.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13,,1634.32,1433.23,,,996.89,,,,,,697.17,,,,,,,,,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17,,,1610.52,1414.0,1244.0,1201.65,1113.39,1013.29,,954.3,,906.09,882.69,814.02,756.3,704.96,,639.12,595.91,601.35,583.51,570.77,,,504.69,504.76,479.5,,463.1,,,403.0,388.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-17,,,,,,,,1073.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-20,,,,,,,,996.89,,,,,,,,,,,,,,,,,508.39,,,,,,,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,,,,,,,,891.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,,,,,,,,926.41,,877.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14,,,,,,,,824.44,,,,,,,,,,,,,,,,,,,,,,,,232.76,259.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16,,,,,,,,,928.73,,877.99,,814.0,,,,602.38,,553.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.68,,,,,,,,,,,,,,,,,,,200.56,,,,,,178.96,,170.51,,140.0,,,,,,133.55,,125.9,,102.52,,,,,85.22,,,80.1,77.6,72.4,68.1,66.0,64.45,59.25,58.9,56.06,53.09,49.86,48.26,40.95,38.87,38.02,38.0,36.69,34.66,35.8,61.6,26.35,27.22,25.33,20.61,20.5,20.2,17.3,17.58,21.5,14.94,14.04,12.63,11.75,10.14,9.93,8.75,8.27,7.6,7.04,6.34,5.75,5.1,4.83,,4.1,,3.33,3.05,2.81,2.4,2.0,1.7,,1.65,,0.92,0.95,0.55,0.6,0.4,,0.36,0.25,,0.2,0.1,,0.05,,,,,
2025-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.95,,,,252.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.98,,122.41,,116.09,,,100.3,,,,87.88,,81.99,81.4,80.0,62.04,69.58,71.7,63.54,62.5,63.0,58.67,52.21,49.7,46.9,41.07,45.14,33.95,32.57,30.08,32.83,33.46,28.69,23.15,29.64,24.37,23.8,21.07,19.3,18.5,16.23,16.41,12.6,16.0,10.85,9.85,9.7,9.1,7.99,6.95,6.25,6.11,5.54,5.65,4.0,3.7,3.69,,2.72,,2.25,2.0,1.8,1.4,1.29,0.95,,0.75,,0.55,0.3,0.25,0.5,0.15,0.2,0.2,,,0.1,,,,,,,,
2025-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.25,,,156.0,,,146.0,138.3,151.5,154.05,138.05,123.9,129.94,148.66,144.46,,138.05,133.9,128.62,121.45,,87.23,,96.4,103.29,96.11,95.94,78.6,90.3,81.0,75.78,66.3,67.4,73.7,69.0,67.35,64.35,61.13,58.18,55.49,45.04,50.0,46.58,43.98,41.0,38.7,36.7,34.43,27.8,30.2,28.4,22.8,20.6,22.21,20.79,19.3,18.0,16.16,15.2,13.82,10.22,11.39,10.28,7.99,5.2,7.31,5.45,5.26,4.93,4.54,3.6,3.6,3.1,2.45,2.32,2.1,1.6,1.47,1.1,1.12,1.0,0.85,0.75,0.6,0.55,0.45,0.4,0.3,0.3,0.3,,0.2,,0.1,0.15,0.1,0.05,0.05,0.15,,0.15,,0.1,,0.08,0.1,0.1,,0.06,,,0.07,,,,,,,,
2025-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.2,,318.9,,320.5,,,,,284.93,,,,285.85,,,275.27,270.84,250.79,245.0,,245.65,,223.95,,222.69,209.75,,,199.58,192.15,195.11,183.14,186.44,180.78,184.05,168.53,167.0,158.46,157.37,148.8,144.09,137.08,136.64,132.1,126.33,110.56,115.31,110.64,96.9,92.29,89.27,83.02,78.47,75.44,68.57,64.53,60.3,55.52,51.68,47.72,45.02,40.0,35.68,32.45,29.07,25.84,22.5,19.88,17.5,15.0,13.0,10.9,9.14,7.6,6.3,5.15,4.2,3.43,2.74,2.2,1.7,1.4,1.02,0.76,0.55,0.5,0.35,0.2,0.21,0.15,0.15,0.07,0.07,0.07,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,0.05,,,,,0.05,,,,0.05
2025-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.66,,,,,,,,225.0,219.0,247.86,,,,,,197.91,,188.43,,,,182.41,176.13,156.02,166.63,142.15,152.59,157.3,158.53,144.38,140.61,140.25,133.0,128.3,126.32,122.39,119.93,118.82,103.73,99.42,96.25,90.93,86.39,82.54,78.49,80.93,79.4,66.44,66.17,59.37,55.67,52.31,48.82,45.62,42.42,39.32,41.4,32.9,30.2,27.6,25.4,23.05,22.61,18.7,17.7,16.93,13.6,11.7,10.6,9.17,8.65,7.7,6.05,5.2,4.5,3.77,3.22,2.75,2.3,1.9,1.65,1.35,1.05,0.85,0.7,0.5,0.45,0.4,,0.25,,0.15,0.15,0.1,0.25,0.1,0.1,,0.2,,0.1,0.1,0.1,0.11,,0.1,0.05,0.1,0.05,0.05,,,,,,,0.05,
2024-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.2,,,,,222.14,,,,,,,,,,217.0,,,,,,,,,,178.71,,,,,136.85,,,,,134.77,132.59,,,,96.5,,,89.1,,83.52,81.54,83.33,95.2,86.53,84.4,62.0,65.62,79.8,,67.0,66.74,48.36,49.5,,59.22,51.56,54.4,51.38,30.89,33.8,31.8,29.99,34.46,27.6,30.33,28.58,30.24,28.86,,18.18,24.87,19.5,18.3,13.75,16.21,17.7,9.5,15.4,13.29,12.74,,9.42,,8.4,6.62,7.6,5.28,4.73,4.72,,4.01,,2.3,1.7,0.82,,0.62,,,0.17,,,,0.1,,,,,,
2025-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.6,272.8,,,,,248.5,,,225.76,218.33,,219.0,,,211.58,,200.83,,,,,,154.07,,152.98,,,141.98,124.99,132.43,112.45,120.0,103.33,98.99,90.79,97.27,84.5,81.72,74.5,82.17,73.87,71.63,61.44,53.9,50.6,46.76,43.6,46.31,40.3,31.77,32.08,28.47,26.18,22.67,20.43,17.5,16.41,14.0,13.4,10.92,9.57,8.5,7.32,7.0,5.4,4.5,3.79,3.2,2.6,2.22,1.8,1.7,1.25,1.0,0.7,0.6,0.55,0.45,0.3,0.25,0.2,0.15,0.15,0.1,0.05,0.05,0.2,0.1,0.1,0.07,0.05,0.15,0.08,0.1,0.1,0.1,0.1,0.1,,,,,,0.05,0.05,,,0.05,,,,,,,
